precinct,estimated_population_polygon,place_names
1,85000,
5,51000,
6,65000,
7,58000,
9,76000,
10,66000,
13,100000,
14,28000,
17,90000,
18,68000,
19,220000,
20,115000,
22,0,Central Park
23,75000,
24,107000,
25,51000,
26,50000,
28,49000,
30,60000,
103,121000,
104,179000,
105,199000,
106,129000,
32,81000,
33,72000,
34,109000,
40,101000,
41,54000,
42,94000,
43,188000,
44,150000,
45,131000,
46,133000,
47,163000,
48,89000,
49,120000,
50,107000,
52,146000,
60,109000,
61,170000,
62,199000,
63,112000,
66,205000,
67,163000,
68,136000,
69,91000,
70,165000,
71,102000,
72,133000,
73,99000,
75,201000,
76,48000,
77,101000,
78,73000,
79,106000,
81,69000,
83,121000,
84,66000,
88,64000,
90,131000,
94,73000,
100,51000,
101,73000,
102,153000,
107,161000,
108,138000,
109,270000,
110,181000,
111,122000,
112,120000,
113,135000,
114,208000,
115,179000,
120,122000,
121,128000,
122,145000,
123,101000,